***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  1 ;  LEVE ; 36 ;MARANHAO IV  ;  1 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  L  ;    189.96 ;
  1 ;  LEVE ; 36 ;MARANHAO IV  ; 99 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  -  ;           ;
  1 ;  LEVE ; 42 ;FORTALEZA    ;  1 ; NE ;      0.00 ;      0.00 ;    160.00 ;     160.00 ;  L  ;    285.83 ;
  1 ;  LEVE ; 42 ;FORTALEZA    ;  2 ; NE ;      0.00 ;      0.00 ;    160.00 ;     160.00 ;  L  ;    285.83 ;
  1 ;  LEVE ; 42 ;FORTALEZA    ;  3 ; NE ;      0.00 ;      0.00 ;    327.00 ;     327.00 ;  L  ;    285.83 ;
  1 ;  LEVE ; 42 ;FORTALEZA    ; 99 ; NE ;      0.00 ;      0.00 ;    327.00 ;     647.00 ;  -  ;           ;
  1 ;  LEVE ; 43 ;TERMOBAHIA   ;  1 ; NE ;      0.00 ;      0.00 ;    185.89 ;     185.89 ;  L  ;    783.44 ;
  1 ;  LEVE ; 43 ;TERMOBAHIA   ; 99 ; NE ;      0.00 ;      0.00 ;    170.00 ;     185.89 ;  -  ;           ;
  1 ;  LEVE ; 46 ;N.VENECIA 2  ;  1 ; N  ;      0.00 ;      0.00 ;    178.21 ;     178.21 ;  L  ;    286.88 ;
  1 ;  LEVE ; 46 ;N.VENECIA 2  ; 99 ; N  ;      0.00 ;      0.00 ;    178.00 ;     178.21 ;  -  ;           ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     354.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  5 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  6 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  7 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  8 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  9 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 10 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 11 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 12 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 13 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 14 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 15 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 16 ; SE ;      0.00 ;      0.00 ;      0.00 ;     989.00 ;  D  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 17 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 18 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 19 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 20 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 21 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
