& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
&UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
CROSSOVER 0 0 0 0
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
 55  GLOBAL II      9    0        0.000  19634  1  0  0          0.
 55  GLOBAL II     10    0        0.000  19472  0  0  0          0.
 55  GLOBAL II     11    0        0.000    239  0  0  0          0.
 57  MARACANAU I    1    0        0.000    240  0  0  0          0.
 57  MARACANAU I    2    0        0.000    240  0  0  0          0.
 57  MARACANAU I    3    0        0.000    240  0  0  0          0.
 57  MARACANAU I    4    0        0.000    240  0  0  0          0.
 57  MARACANAU I    5    0        0.000    240  0  0  0          0.
 57  MARACANAU I    6    0        0.000    240  0  0  0          0.
 57  MARACANAU I    7    0        0.000    337  0  0  0          0.
 57  MARACANAU I    8    0        0.000    240  0  0  0          0.
 58  TERMOCEARA     1    0        0.000  25194  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  25151  0  0  0          0.
 58  TERMOCEARA     3    0        0.000    293  0  0  0          0.
 58  TERMOCEARA     4    0        0.000    168  1  0  0          0.
 60  NORTEFLU       1    0        0.000   7248  0  0  0          0.
 60  NORTEFLU       2    0        0.000   7248  0  0  0          0.
 60  NORTEFLU       3    0        0.000   7248  0  0  0          0.
 60  NORTEFLU       4    0        0.000     96  1  0  0          0.
 60  NORTEFLU       5    0        0.000  16793  0  0  0          0.
 60  NORTEFLU       6    0        0.000  11592  0  0  0          0.
 60  NORTEFLU       7    0        0.000    120  0  0  0          0.
&Ajuste conforme valores programados
 62  SEROPEDICA     1    0        0.000    824  1  0  0          0.
 62  SEROPEDICA     2    0        0.000  16728  0  0  0          0.
 62  SEROPEDICA     3    0        0.000  16183  0  0  0          0.
 62  SEROPEDICA     4    0        0.000  16189  1  0  0          0.
 62  SEROPEDICA     5    0        0.000  16721  1  0  0          0.
 62  SEROPEDICA     6    0        0.000  18696  1  0  0          0.
 62  SEROPEDICA     7    0        0.000      0  1  0  0          0.
 62  SEROPEDICA     8    0        0.000    695  0  0  0          0.
 63  IBIRITE        1    0        0.000    166  1  0  0          0.
 64  CANOAS         1    0        0.000  19078  1  0  0          0.
 67  TERMONE        1    0        0.000    240  0  0  0          0.
 67  TERMONE        2    0        0.000    240  0  0  0          0.
 67  TERMONE        3    0        0.000    240  0  0  0          0.
 68  TRES LAGOAS    1    0        0.000  19527  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  31679  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000   3648  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000  21372  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000   1608  0  0  0          0.
 68  TRES LAGOAS    6    0        0.000  25507  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000  18760  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000  27360  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000  18675  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000  27222  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000  27312  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000   1584  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000  19080  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000  27000  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000    119  0  0  0          0.
 69  TERMOPB        1    0        0.000    240  0  0  0          0.
 69  TERMOPB        2    0        0.000    240  0  0  0          0.
 69  TERMOPB        3    0        0.000    240  0  0  0          0.
 70  GERAMAR II     1    0        0.000    240  0  0  0          0.
 70  GERAMAR II     2    0        0.000    240  0  0  0          0.
 70  GERAMAR II     3    0        0.000    240  0  0  0          0.
 70  GERAMAR II     4    0        0.000    240  0  0  0          0.
 73  GERAMAR I      1    0        0.000    240  0  0  0          0.
 73  GERAMAR I      2    0        0.000    240  0  0  0          0.
 73  GERAMAR I      3    0        0.000    240  0  0  0          0.
 73  GERAMAR I      4    0        0.000    240  0  0  0          0.
 83  VALE DO ACU    1    0        0.000    167  0  0  0          0.
 83  VALE DO ACU    2    0        0.000  12959  0  0  0          0.
 86  ST.CRUZ NOVA   1    0        0.000   4968  1  0  0          0.
 86  ST.CRUZ NOVA   2    0        0.000   5062  0  0  0          0.
 86  ST.CRUZ NOVA   3    0        0.000   5057  1  0  0          0.
 86  ST.CRUZ NOVA   4    0        0.000   5014  1  0  0          0.
 90  TERMOMACAE     1    0        0.000    283  0  0  0          0.
 90  TERMOMACAE     2    0        0.000  19099  1  0  0          0.
 90  TERMOMACAE     3    0        0.000  26767  1  0  0          0.
 90  TERMOMACAE     4    0        0.000    216  0  0  0          0.
 90  TERMOMACAE     5    0        0.000  19186  1  0  0          0.
 90  TERMOMACAE     6    0        0.000  25415  0  0  0          0.
 90  TERMOMACAE     7    0        0.000   3606  0  0  0          0.
 90  TERMOMACAE     8    0        0.000   3606  0  0  0          0.
 90  TERMOMACAE     9    0        0.000  21408  1  0  0          0.
 90  TERMOMACAE    10    0        0.000   3606  0  0  0          0.
 90  TERMOMACAE    11    0        0.000  26639  0  0  0          0.
 90  TERMOMACAE    12    0        0.000  26645  1  0  0          0.
 90  TERMOMACAE    13    0        0.000    289  0  0  0          0.
 90  TERMOMACAE    14    0        0.000  26344  0  0  0          0.
 90  TERMOMACAE    15    0        0.000  19152  1  0  0          0.
 90  TERMOMACAE    16    0        0.000  19126  1  0  0          0.
 90  TERMOMACAE    17    0        0.000  20444  0  0  0          0.
 90  TERMOMACAE    18    0        0.000    238  0  0  0          0.
 90  TERMOMACAE    19    0        0.000    312  0  0  0          0.
 90  TERMOMACAE    20    0        0.000   1296  1  0  0          0.
 96  TERMOPE        1    0        0.000  16908  1  0  0          0.
 96  TERMOPE        2    0        0.000  18408  0  0  0          0.
 96  TERMOPE        3    0        0.000  17710  1  0  0          0.
