***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / subsistema / hora

------;-------;------;-----------;-----------;
 IPER ;  Pat  ; SIST ;   Cmarg   ;PI_Demanda ;
------;-------;------;-----------;-----------;
   19 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   19 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   19 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   19 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   19 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   20 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   20 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   20 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   20 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   20 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   21 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   21 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   21 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   21 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   21 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   22 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   22 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   22 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   22 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   22 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   23 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   23 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   23 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   23 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   23 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   24 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   24 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   24 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   24 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   24 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   25 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   25 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   25 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   25 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   25 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   26 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   26 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   26 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   26 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   26 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   27 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   27 ;PESADA ; S    ;      0.00 ;      0.00 ;
