***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE não corresponde a recebimento do SE pois Itaipu(60hz) já se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
  15  ;   LEVE ; S    ;       0.00 ;   13475.41 ;     -      ;       0.00 ;       0.00 ;    3418.08 ;    9010.12 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      23.78 ;     -23.78 ;    1071.00 ;    1486.57 ;   19486.17 ;
  15  ;   LEVE ; NE   ;       0.00 ;   12866.32 ;     -      ;       0.00 ;       0.00 ;   10108.72 ;    6788.54 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4030.94 ;   -4030.94 ;       0.00 ;    6450.04 ;   27425.31 ;
  15  ;   LEVE ; N    ;       0.00 ;    6682.47 ;     -      ;       0.00 ;       0.00 ;     777.45 ;    2051.61 ;    1134.16 ;       0.00 ;       0.00 ;     492.19 ;       0.00 ;   -3211.45 ;    3211.45 ;    1133.23 ;    3297.00 ;    6206.39 ;
  15  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  16  ;   LEVE ; SE   ;       0.00 ;   45436.00 ;     -      ;       0.00 ;       0.00 ;    9882.84 ;   35025.84 ;    1635.00 ;      44.55 ;    5406.26 ;    4915.09 ;       0.00 ;    -866.18 ;     866.18 ;    1635.00 ;    9510.76 ;  130603.20 ;
  16  ;   LEVE ; S    ;       0.00 ;   14249.82 ;     -      ;       0.00 ;       0.00 ;    3869.58 ;    9326.76 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      17.52 ;     -17.52 ;    1071.00 ;    1486.57 ;   19463.15 ;
  16  ;   LEVE ; NE   ;       0.00 ;   13404.32 ;     -      ;       0.00 ;       0.00 ;   10625.63 ;    6912.87 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4134.17 ;   -4134.17 ;       0.00 ;    6450.04 ;   27410.75 ;
  16  ;   LEVE ; N    ;       0.00 ;    6898.51 ;     -      ;       0.00 ;       0.00 ;     916.78 ;    2053.24 ;    1134.16 ;       0.00 ;       0.00 ;     491.17 ;       0.00 ;   -3285.51 ;    3285.51 ;    1133.23 ;    3297.00 ;    6197.80 ;
  16  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  17  ;  MEDIA ; SE   ;       0.00 ;   47172.15 ;     -      ;       0.00 ;       0.00 ;   11189.25 ;   35942.72 ;    1635.00 ;      39.91 ;    5452.73 ;    4964.19 ;       0.00 ;    -819.55 ;     819.55 ;    1635.00 ;    9510.76 ;  130561.99 ;
  17  ;  MEDIA ; S    ;       0.00 ;   14876.90 ;     -      ;       0.00 ;       0.00 ;    4242.68 ;    9577.90 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      14.69 ;     -14.69 ;    1071.00 ;    1486.57 ;   19439.41 ;
  17  ;  MEDIA ; NE   ;       0.00 ;   13942.22 ;     -      ;       0.00 ;       0.00 ;   11041.50 ;    7155.25 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4254.53 ;   -4254.53 ;       0.00 ;    6442.04 ;   27395.86 ;
  17  ;  MEDIA ; N    ;       0.00 ;    7206.59 ;     -      ;       0.00 ;       0.00 ;    1051.02 ;    2060.27 ;    1134.16 ;       0.00 ;       0.00 ;     488.54 ;       0.00 ;   -3449.67 ;    3449.67 ;    1133.23 ;    3297.00 ;    6189.09 ;
  17  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  18  ;  MEDIA ; SE   ;       0.00 ;   48383.13 ;     -      ;       0.00 ;       0.00 ;   12257.97 ;   35999.58 ;    1635.00 ;      33.16 ;    5560.31 ;    5070.29 ;       0.00 ;    -896.73 ;     896.73 ;    1635.00 ;    9510.76 ;  130519.81 ;
  18  ;  MEDIA ; S    ;       0.00 ;   15274.04 ;     -      ;       0.00 ;       0.00 ;    4599.21 ;    9643.29 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      39.47 ;     -39.47 ;    1071.00 ;    1486.57 ;   19415.08 ;
  18  ;  MEDIA ; NE   ;       0.00 ;   14222.15 ;     -      ;       0.00 ;       0.00 ;   11205.45 ;    7387.32 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4370.63 ;   -4370.63 ;       0.00 ;    6442.04 ;   27380.58 ;
  18  ;  MEDIA ; N    ;       0.00 ;    7411.65 ;     -      ;       0.00 ;       0.00 ;    1182.77 ;    2071.35 ;    1134.17 ;       0.00 ;       0.00 ;     490.01 ;       0.00 ;   -3513.37 ;    3513.37 ;    1133.23 ;    3297.00 ;    6180.25 ;
  18  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  19  ;  MEDIA ; SE   ;       0.00 ;   49302.76 ;     -      ;       0.00 ;       0.00 ;   13150.28 ;   36432.91 ;    1635.00 ;      33.17 ;    5538.55 ;    5048.32 ;       0.00 ;    -490.51 ;     490.51 ;    1635.00 ;    9510.76 ;  130478.92 ;
  19  ;  MEDIA ; S    ;       0.00 ;   15469.92 ;     -      ;       0.00 ;       0.00 ;    4887.19 ;    9563.24 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      51.51 ;     -51.51 ;    1071.00 ;    1486.57 ;   19390.17 ;
  19  ;  MEDIA ; NE   ;       0.00 ;   14441.37 ;     -      ;       0.00 ;       0.00 ;   11032.65 ;    7370.05 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3961.32 ;   -3961.32 ;       0.00 ;    6442.04 ;   27364.52 ;
  19  ;  MEDIA ; N    ;       0.00 ;    7525.72 ;     -      ;       0.00 ;       0.00 ;    1287.97 ;    2071.48 ;    1134.17 ;       0.00 ;       0.00 ;     490.22 ;       0.00 ;   -3522.33 ;    3522.33 ;    1133.23 ;    3297.00 ;    6171.47 ;
  19  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  20  ;  MEDIA ; SE   ;       0.00 ;   50033.88 ;     -      ;       0.00 ;       0.00 ;   13859.60 ;   36419.40 ;    1635.00 ;      30.07 ;    5599.39 ;    5107.90 ;       0.00 ;    -521.46 ;     521.46 ;    1635.00 ;    9510.76 ;  130437.85 ;
  20  ;  MEDIA ; S    ;       0.00 ;   15751.67 ;     -      ;       0.00 ;       0.00 ;    5199.48 ;    9554.65 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      73.46 ;     -73.46 ;    1071.00 ;    1486.57 ;   19364.52 ;
  20  ;  MEDIA ; NE   ;       0.00 ;   14662.15 ;     -      ;       0.00 ;       0.00 ;   11039.51 ;    7584.68 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3962.04 ;   -3962.04 ;       0.00 ;    6442.04 ;   27347.78 ;
  20  ;  MEDIA ; N    ;       0.00 ;    7605.72 ;     -      ;       0.00 ;       0.00 ;    1372.72 ;    2076.28 ;    1134.17 ;       0.00 ;       0.00 ;     491.49 ;       0.00 ;   -3514.04 ;    3514.04 ;    1133.23 ;    3297.00 ;    6162.69 ;
  20  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  21  ;  MEDIA ; SE   ;       0.00 ;   50960.21 ;     -      ;       0.00 ;       0.00 ;   14342.69 ;   36791.55 ;    1635.00 ;      27.80 ;    5649.81 ;    5155.97 ;       0.00 ;    -587.93 ;     587.93 ;    1635.00 ;    9510.76 ;  130395.58 ;
  21  ;  MEDIA ; S    ;       0.00 ;   16107.66 ;     -      ;       0.00 ;       0.00 ;    5560.64 ;    9566.98 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      90.96 ;     -90.96 ;    1071.00 ;    1486.57 ;   19337.97 ;
  21  ;  MEDIA ; NE   ;       0.00 ;   14829.62 ;     -      ;       0.00 ;       0.00 ;   11079.80 ;    7722.91 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3973.09 ;   -3973.09 ;       0.00 ;    6442.04 ;   27330.13 ;
  21  ;  MEDIA ; N    ;       0.00 ;    7631.64 ;     -      ;       0.00 ;       0.00 ;    1435.37 ;    2079.82 ;    1134.17 ;       0.00 ;       0.00 ;     493.84 ;       0.00 ;   -3476.12 ;    3476.12 ;    1133.23 ;    3297.00 ;    6153.89 ;
  21  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  22  ;  MEDIA ; SE   ;       0.00 ;   51599.12 ;     -      ;       0.00 ;       0.00 ;   14766.70 ;   36959.89 ;    1635.00 ;      26.11 ;    5719.19 ;    5225.81 ;       0.00 ;    -633.25 ;     633.25 ;    1635.00 ;    9510.76 ;  130352.04 ;
  22  ;  MEDIA ; S    ;       0.00 ;   16447.34 ;     -      ;       0.00 ;       0.00 ;    5881.78 ;    9586.89 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      92.33 ;     -92.33 ;    1071.00 ;    1486.57 ;   19310.54 ;
  22  ;  MEDIA ; NE   ;       0.00 ;   15025.17 ;     -      ;       0.00 ;       0.00 ;   11150.66 ;    7840.96 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3966.44 ;   -3966.44 ;       0.00 ;    6442.04 ;   27312.06 ;
  22  ;  MEDIA ; N    ;       0.00 ;    7637.68 ;     -      ;       0.00 ;       0.00 ;    1488.81 ;    2082.56 ;    1134.17 ;       0.00 ;       0.00 ;     493.39 ;       0.00 ;   -3425.52 ;    3425.52 ;    1133.23 ;    3297.00 ;    6145.10 ;
  22  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  23  ;  MEDIA ; SE   ;       0.00 ;   51774.16 ;     -      ;       0.00 ;       0.00 ;   15055.33 ;   36974.30 ;    1635.00 ;      30.03 ;    5633.40 ;    5140.55 ;       0.00 ;    -509.71 ;     509.71 ;    1635.00 ;    9510.76 ;  130310.56 ;
  23  ;  MEDIA ; S    ;       0.00 ;   16604.11 ;     -      ;       0.00 ;       0.00 ;    6161.82 ;    9461.15 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      89.86 ;     -89.86 ;    1071.00 ;    1486.57 ;   19282.35 ;
  23  ;  MEDIA ; NE   ;       0.00 ;   15050.01 ;     -      ;       0.00 ;       0.00 ;   11089.26 ;    7776.09 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3815.34 ;   -3815.34 ;       0.00 ;    6442.04 ;   27293.88 ;
  23  ;  MEDIA ; N    ;       0.00 ;    7631.54 ;     -      ;       0.00 ;       0.00 ;    1520.20 ;    2074.54 ;    1134.17 ;       0.00 ;       0.00 ;     492.85 ;       0.00 ;   -3395.48 ;    3395.48 ;    1133.23 ;    3297.00 ;    6136.36 ;
  23  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  24  ;  MEDIA ; SE   ;       0.00 ;   51719.46 ;     -      ;       0.00 ;       0.00 ;   15273.33 ;   36693.16 ;    1635.00 ;      30.29 ;    5690.13 ;    5190.14 ;       0.00 ;    -511.28 ;     511.28 ;    1635.00 ;    9510.76 ;  130269.30 ;
  24  ;  MEDIA ; S    ;       0.00 ;   16333.63 ;     -      ;       0.00 ;       0.00 ;    6262.91 ;    9115.03 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     115.32 ;    -115.32 ;    1071.00 ;    1486.57 ;   19253.58 ;
  24  ;  MEDIA ; NE   ;       0.00 ;   14986.48 ;     -      ;       0.00 ;       0.00 ;   11082.31 ;    7663.68 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3759.50 ;   -3759.50 ;       0.00 ;    6442.04 ;   27275.51 ;
  24  ;  MEDIA ; N    ;       0.00 ;    7599.68 ;     -      ;       0.00 ;       0.00 ;    1531.81 ;    2070.13 ;    1134.17 ;       0.00 ;       0.00 ;     499.98 ;       0.00 ;   -3363.55 ;    3363.55 ;    1133.23 ;    3297.00 ;    6127.64 ;
  24  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  25  ;  MEDIA ; SE   ;       0.00 ;   51349.19 ;     -      ;       0.00 ;       0.00 ;   15286.94 ;   36478.48 ;    1635.00 ;      43.42 ;    5478.86 ;    4989.77 ;       0.00 ;    -366.10 ;     366.10 ;    1635.00 ;    9510.76 ;  130233.29 ;
  25  ;  MEDIA ; S    ;       0.00 ;   15677.30 ;     -      ;       0.00 ;       0.00 ;    6170.73 ;    8525.90 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      90.33 ;     -90.33 ;    1071.00 ;    1486.57 ;   19224.51 ;
  25  ;  MEDIA ; NE   ;       0.00 ;   14770.44 ;     -      ;       0.00 ;       0.00 ;   10880.70 ;    7532.76 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3643.02 ;   -3643.02 ;       0.00 ;    6442.04 ;   27257.14 ;
  25  ;  MEDIA ; N    ;       0.00 ;    7582.71 ;     -      ;       0.00 ;       0.00 ;    1517.95 ;    2052.44 ;    1134.17 ;       0.00 ;       0.00 ;     489.09 ;       0.00 ;   -3367.25 ;    3367.25 ;    1133.23 ;    3297.00 ;    6119.00 ;
  25  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  26  ;  MEDIA ; SE   ;       0.00 ;   51137.60 ;     -      ;       0.00 ;       0.00 ;   15087.27 ;   36371.62 ;    1635.00 ;      42.62 ;    5509.85 ;    5022.89 ;       0.00 ;    -462.38 ;     462.38 ;    1635.00 ;    9510.76 ;  130197.54 ;
  26  ;  MEDIA ; S    ;       0.00 ;   15460.87 ;     -      ;       0.00 ;       0.00 ;    6096.22 ;    8389.38 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      95.73 ;     -95.73 ;    1071.00 ;    1486.57 ;   19194.52 ;
  26  ;  MEDIA ; NE   ;       0.00 ;   14796.95 ;     -      ;       0.00 ;       0.00 ;   10992.67 ;    7644.31 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3840.03 ;   -3840.03 ;       0.00 ;    6442.04 ;   27238.65 ;
  26  ;  MEDIA ; N    ;       0.00 ;    7626.82 ;     -      ;       0.00 ;       0.00 ;    1452.25 ;    2053.97 ;    1134.17 ;       0.00 ;       0.00 ;     486.96 ;       0.00 ;   -3473.38 ;    3473.38 ;    1133.23 ;    3297.00 ;    6110.35 ;
  26  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  27  ; PESADA ; SE   ;       0.00 ;   51996.65 ;     -      ;       0.00 ;       0.00 ;   14641.15 ;   37863.26 ;    1635.00 ;      31.88 ;    5660.59 ;    5163.62 ;       0.00 ;    -403.13 ;     403.13 ;    1635.00 ;    9510.76 ;  130159.53 ;
  27  ; PESADA ; S    ;       0.00 ;   15851.26 ;     -      ;       0.00 ;       0.00 ;    6063.95 ;    8893.16 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     176.85 ;    -176.85 ;    1071.00 ;    1486.57 ;   19162.90 ;
  27  ; PESADA ; NE   ;       0.00 ;   15125.21 ;     -      ;       0.00 ;       0.00 ;   11314.06 ;    7816.66 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4005.51 ;   -4005.51 ;       0.00 ;    6442.04 ;   27219.82 ;
  27  ; PESADA ; N    ;       0.00 ;    7825.70 ;     -      ;       0.00 ;       0.00 ;    1336.15 ;    2073.11 ;    1134.18 ;       0.00 ;       0.00 ;     496.97 ;       0.00 ;   -3779.23 ;    3779.23 ;    1133.23 ;    3297.00 ;    6102.17 ;
  27  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  28  ; PESADA ; SE   ;       0.00 ;   52590.97 ;     -      ;       0.00 ;       0.00 ;   13957.37 ;   39068.90 ;    1635.00 ;      24.64 ;    5792.61 ;    5304.56 ;       0.00 ;    -477.29 ;     477.29 ;    1635.00 ;    9510.76 ;  130116.03 ;
  28  ; PESADA ; S    ;       0.00 ;   16224.70 ;     -      ;       0.00 ;       0.00 ;    5971.00 ;    9592.67 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     409.97 ;    -409.97 ;    1071.00 ;    1486.57 ;   19130.18 ;
  28  ; PESADA ; NE   ;       0.00 ;   15323.40 ;     -      ;       0.00 ;       0.00 ;   11536.01 ;    7917.40 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4130.01 ;   -4130.01 ;       0.00 ;    6442.04 ;   27200.64 ;
  28  ; PESADA ; N    ;       0.00 ;    8057.55 ;     -      ;       0.00 ;       0.00 ;    1241.75 ;    2106.94 ;    1134.23 ;       0.00 ;       0.00 ;     488.05 ;       0.00 ;   -4062.69 ;    4062.69 ;    1133.23 ;    3297.00 ;    6093.96 ;
  28  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  29  ; PESADA ; SE   ;       0.00 ;   53067.15 ;     -      ;       0.00 ;       0.00 ;   13127.15 ;   40420.35 ;    1635.00 ;      17.89 ;    5985.68 ;    5476.76 ;       0.00 ;    -404.62 ;     404.62 ;    1635.00 ;    9510.76 ;  130070.23 ;
  29  ; PESADA ; S    ;       0.00 ;   16360.21 ;     -      ;       0.00 ;       0.00 ;    5824.03 ;    9847.95 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     382.77 ;    -382.77 ;    1071.00 ;    1486.57 ;   19096.81 ;
  29  ; PESADA ; NE   ;       0.00 ;   15485.90 ;     -      ;       0.00 ;       0.00 ;   11717.26 ;    8058.76 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4290.12 ;   -4290.12 ;       0.00 ;    6442.04 ;   27180.97 ;
  29  ; PESADA ; N    ;       0.00 ;    8223.47 ;     -      ;       0.00 ;       0.00 ;    1169.51 ;    2160.35 ;    1134.26 ;       0.00 ;       0.00 ;     508.91 ;       0.00 ;   -4268.27 ;    4268.27 ;    1133.23 ;    3297.00 ;    6085.70 ;
  29  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  30  ; PESADA ; SE   ;       0.00 ;   53076.72 ;     -      ;       0.00 ;       0.00 ;   12310.17 ;   41313.20 ;    1635.00 ;      14.80 ;    6241.98 ;    5694.78 ;       0.00 ;    -296.94 ;     296.94 ;    1635.00 ;    9510.76 ;  130023.59 ;
  30  ; PESADA ; S    ;       0.00 ;   16294.11 ;     -      ;       0.00 ;       0.00 ;    5563.88 ;    9961.32 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     302.09 ;    -302.09 ;    1071.00 ;    1486.57 ;   19063.17 ;
  30  ; PESADA ; NE   ;       0.00 ;   15443.14 ;     -      ;       0.00 ;       0.00 ;   11740.77 ;    8114.32 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4411.95 ;   -4411.95 ;       0.00 ;    6442.04 ;   27160.84 ;
  30  ; PESADA ; N    ;       0.00 ;    8299.84 ;     -      ;       0.00 ;       0.00 ;    1097.63 ;    2198.04 ;    1134.27 ;       0.00 ;       0.00 ;     547.20 ;       0.00 ;   -4417.10 ;    4417.10 ;    1133.23 ;    3297.00 ;    6077.41 ;
  30  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  31  ; PESADA ; SE   ;       0.00 ;   52802.61 ;     -      ;       0.00 ;       0.00 ;   11528.80 ;   41856.16 ;    1635.00 ;      11.12 ;    6464.31 ;    5864.42 ;       0.00 ;    -204.89 ;     204.89 ;    1635.00 ;    9510.76 ;  129976.30 ;
  31  ; PESADA ; S    ;       0.00 ;   16190.76 ;     -      ;       0.00 ;       0.00 ;    5237.38 ;   10162.85 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     280.47 ;    -280.47 ;    1071.00 ;    1486.57 ;   19028.70 ;
  31  ; PESADA ; NE   ;       0.00 ;   15430.22 ;     -      ;       0.00 ;       0.00 ;   11755.44 ;    8100.01 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4425.24 ;   -4425.24 ;       0.00 ;    6442.04 ;   27140.25 ;
  31  ; PESADA ; N    ;       0.00 ;    8293.44 ;     -      ;       0.00 ;       0.00 ;    1027.80 ;    2230.43 ;    1134.27 ;       0.00 ;       0.00 ;     599.89 ;       0.00 ;   -4500.82 ;    4500.82 ;    1133.23 ;    3297.00 ;    6069.11 ;
  31  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  32  ; PESADA ; SE   ;       0.00 ;   52775.72 ;     -      ;       0.00 ;       0.00 ;   10541.66 ;   42737.43 ;    1635.00 ;       7.03 ;    6649.27 ;    6000.80 ;       0.00 ;    -231.19 ;     231.19 ;    1635.00 ;    9510.76 ;  129927.77 ;
  32  ; PESADA ; S    ;       0.00 ;   16151.02 ;     -      ;       0.00 ;       0.00 ;    4949.96 ;   10471.58 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     341.51 ;    -341.51 ;    1071.00 ;    1486.57 ;   18993.61 ;
  32  ; PESADA ; NE   ;       0.00 ;   15389.49 ;     -      ;       0.00 ;       0.00 ;   11764.64 ;    8054.57 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4429.72 ;   -4429.72 ;       0.00 ;    6442.04 ;   27119.49 ;
  32  ; PESADA ; N    ;       0.00 ;    8247.41 ;     -      ;       0.00 ;       0.00 ;     943.31 ;    2278.24 ;    1134.28 ;       0.00 ;       0.00 ;     648.47 ;       0.00 ;   -4540.04 ;    4540.04 ;    1133.23 ;    3297.00 ;    6060.84 ;
  32  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  33  ; PESADA ; SE   ;       0.00 ;   52531.56 ;     -      ;       0.00 ;       0.00 ;    9313.03 ;   43677.13 ;    1635.00 ;       5.07 ;    6905.95 ;    6092.75 ;       0.00 ;    -109.27 ;     109.27 ;    1635.00 ;    9510.76 ;  129877.99 ;
  33  ; PESADA ; S    ;       0.00 ;   16120.43 ;     -      ;       0.00 ;       0.00 ;    4675.60 ;   10798.31 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     424.48 ;    -424.48 ;    1071.00 ;    1486.57 ;   18957.72 ;
  33  ; PESADA ; NE   ;       0.00 ;   15220.31 ;     -      ;       0.00 ;       0.00 ;   11470.31 ;    8089.41 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4339.42 ;   -4339.42 ;       0.00 ;    6442.04 ;   27098.62 ;
  33  ; PESADA ; N    ;       0.00 ;    8137.38 ;     -      ;       0.00 ;       0.00 ;     848.61 ;    2313.05 ;    1134.28 ;       0.00 ;       0.00 ;     813.20 ;       0.00 ;   -4654.63 ;    4654.63 ;    1133.23 ;    3297.00 ;    6052.86 ;
