NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 45 JUPIA          1    30      F                 307
 45 JUPIA          1    01      F                 329
 43 TRES IRMAOS    1    29      F                  14
 43 TRES IRMAOS    1    30      F                  17
 43 TRES IRMAOS    1    01      F                  20
 34 I. SOLTEIRA    1    29      F                 214
 34 I. SOLTEIRA    1    30      F                 272
 34 I. SOLTEIRA    1    01      F                 310
153 SAO DOMINGOS   1    29      F                 115
153 SAO DOMINGOS   1    30      F                 116
 46 P. PRIMAVERA   1    29      F                 968
 46 P. PRIMAVERA   1    30      F                1008
 46 P. PRIMAVERA   1    01      F                1044
120 JAGUARI        1    29      F                  50
120 JAGUARI        1    30      F                  46
120 JAGUARI        1    01      F                  41
121 PARAIBUNA      1    29      F                 119
121 PARAIBUNA      1    30      F                 116
121 PARAIBUNA      1    01      F                 104
  6 FURNAS         1    29      F                 436
  6 FURNAS         1    30      F                 590
  6 FURNAS         1    01      F                 719
  7 M. DE MORAES   1    29      F                  78
  7 M. DE MORAES   1    30      F                  95
  7 M. DE MORAES   1    01      F                 101
  8 ESTREITO       1    29      F                  18
  8 ESTREITO       1    30      F                  22
  8 ESTREITO       1    01      F                  23
 12 P. COLOMBIA    1    29      F                 116
 12 P. COLOMBIA    1    30      F                 143
 12 P. COLOMBIA    1    01      F                 157
 17 MARIMBONDO     1    29      F                 374
 17 MARIMBONDO     1    30      F                 438
 17 MARIMBONDO     1    01      F                 545
 31 ITUMBIARA      1    29      F                 163
 31 ITUMBIARA      1    30      F                 160
 31 ITUMBIARA      1    01      F                 189
 30 CORUMBA I      1    29      F                  73
 30 CORUMBA I      1    30      F                  66
 30 CORUMBA I      1    01      F                  62
251 SERRA MESA     1    29      F                1652
251 SERRA MESA     1    30      F                1140
251 SERRA MESA     1    01      F                 835
278 MANSO          1    29      F                  59
278 MANSO          1    30      F                  57
278 MANSO          1    01      F                  60
123 FUNIL          1    29      F                 217
123 FUNIL          1    30      F                 252
123 FUNIL          1    01      F                 246
129 SIMPLICIO      1    29      F                 185
129 SIMPLICIO      1    30      F                 209
129 SIMPLICIO      1    01      F                 195
 20 BATALHA        1    29      F                  12
 20 BATALHA        1    30      F                  11
 20 BATALHA        1    01      F                  12
287 STO ANTONIO    1    29      F                 777
287 STO ANTONIO    1    30      F                 816
287 STO ANTONIO    1    01      F                 848
257 PEIXE ANGIC    1    29      F                 200
257 PEIXE ANGIC    1    30      F                 180
257 PEIXE ANGIC    1    01      F                 167
122 SANTA BRANCA   1    29      F                  17
122 SANTA BRANCA   1    01      F                  15
124 LAJES          1    29      F                   8
124 LAJES          1    30      F                   6
124 LAJES          1    01      F                   5
130 ILHA POMBOS    1    29      F                  75
130 ILHA POMBOS    1    30      F                  85
130 ILHA POMBOS    1    01      F                  79
185 BARRA BRAUNA   1    29      F                  77
185 BARRA BRAUNA   1    30      F                 112
185 BARRA BRAUNA   1    01      F                 117
131 NILO PECANHA   1    29      F                   0
133 P. PASSOS      1    29      F                   0
125 STA CECILIA    1    29      F                  94
125 STA CECILIA    1    30      F                  98
125 STA CECILIA    1    01      F                  97
180 TOCOS          1    29      F                  17
180 TOCOS          1    30      F                  14
180 TOCOS          1    01      F                  11
181 SANTANA        1    29      F                   8
181 SANTANA        1    30      F                   6
181 SANTANA        1    01      F                   5
182 VIGARIO        1    29      F                   0
147 FONTES AB      1    29      F                   0
146 FONTES C       1    29      F                   0
107 EDGARD SOUZA   1    29      F                 263
107 EDGARD SOUZA   1    30      F                 227
107 EDGARD SOUZA   1    01      F                 155
108 TRAICAO        1    29      F                   0
109 PEDREIRA       1    29      F                   0
117 GUARAPIRANGA   1    29      F                  51
117 GUARAPIRANGA   1    30      F                  44
117 GUARAPIRANGA   1    01      F                  30
118 BILLINGS       1    29      F                  62
118 BILLINGS       1    30      F                  53
118 BILLINGS       1    01      F                  36
119 HENRY BORDEN   1    29      F                   0
 32 CACH.DOURADA   1    29      F                  67
 32 CACH.DOURADA   1    30      F                  72
 32 CACH.DOURADA   1    01      F                  75
 11 VOLTA GRANDE   1    29      F                  48
 11 VOLTA GRANDE   1    30      F                  58
 11 VOLTA GRANDE   1    01      F                  62
135 P. ESTRELA     1    29      F                   0
139 CANDONGA       1    29      F                 109
139 CANDONGA       1    30      F                 194
139 CANDONGA       1    01      F                 262
262 SALTO          1    29      F                 162
262 SALTO          1    30      F                 174
262 SALTO          1    01      F                 187
 88 SAO ROQUE      1    29      F                 868
 88 SAO ROQUE      1    30      F                 935
 88 SAO ROQUE      1    01      F                 858
 89 GARIBALDI      1    29      F                 192
