&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   228  229  H    25 00 0  F                 518
DEFANT   228  229  H    26 00 0  F                 544
DEFANT   228  229  H    27 00 0  F                 445
DEFANT   228  229  H    28 00 0  F                 451
DEFANT   229  230  H    28 00 0  F                 773
DEFANT   241   34  H    28 00 0  F                 259
DEFANT   249   50  H    28 00 0  F                 474
DEFANT   251  252  H    28 00 0  F                 827
DEFANT   252  253  H    28 00 0  F                 855
DEFANT   253  257  H    28 00 0  F                1124
DEFANT   257  261  H    27 00 0  F                1124
DEFANT   257  261  H    28 00 0  F                1428
DEFANT   261  267  H    26 00 0  F                 768
DEFANT   261  267  H    27 00 0  F                1583
DEFANT   261  267  H    28 00 0  F                1707
DEFANT   262  241  H    28 00 0  F                 247
DEFANT   267  275  H    26 00 0  F                1213
DEFANT   267  275  H    27 00 0  F                2579
DEFANT   267  275  H    28 00 0  F                2327
DEFANT   280  284  H    28 00 0  F                 103
DEFANT   285  287  H    28 00 0  F                5774
DEFANT   290   34  H    28 00 0  F                  51
DEFANT   311  312  H    28 00 0  F                 202
DEFANT   312  315  H    28 00 0  F                 211
DEFANT   315   34  H    28 00 0  F                 396
DEFANT    66    1  S    28  0 0  F               11135
DEFANT    66    1  S    28  0 1  F               11136
DEFANT    66    1  S    28  1 0  F               11186
DEFANT    66    1  S    28  1 1  F               11187
DEFANT    66    1  S    28  2 0  F               11145
DEFANT    66    1  S    28  2 1  F               11145
DEFANT    66    1  S    28  3 0  F               11296
DEFANT    66    1  S    28  3 1  F               11297
DEFANT    66    1  S    28  4 0  F               11145
DEFANT    66    1  S    28  4 1  F               11145
DEFANT    66    1  S    28  5 0  F               11031
DEFANT    66    1  S    28  5 1  F               11029
DEFANT    66    1  S    28  6 0  F               10965
DEFANT    66    1  S    28  6 1  F               10719
DEFANT    66    1  S    28  7 0  F               10889
DEFANT    66    1  S    28  7 1  F               10887
DEFANT    66    1  S    28  8 0  F               11346
DEFANT    66    1  S    28  8 1  F               11696
DEFANT    66    1  S    28  9 0  F               11790
DEFANT    66    1  S    28  9 1  F               11700
DEFANT    66    1  S    28 10 0  F               11747
DEFANT    66    1  S    28 10 1  F               11841
DEFANT    66    1  S    28 11 0  F               11803
DEFANT    66    1  S    28 11 1  F               11711
DEFANT    66    1  S    28 12 0  F               11822
DEFANT    66    1  S    28 12 1  F               11658
DEFANT    66    1  S    28 13 0  F               11978
DEFANT    66    1  S    28 13 1  F               12249
DEFANT    66    1  S    28 14 0  F               12363
DEFANT    66    1  S    28 14 1  F               12892
DEFANT    66    1  S    28 15 0  F               11503
DEFANT    66    1  S    28 15 1  F               11496
DEFANT    66    1  S    28 16 0  F               11560
DEFANT    66    1  S    28 16 1  F               11676
DEFANT    66    1  S    28 17 0  F               11560
DEFANT    66    1  S    28 17 1  F               11671
